Timestamp_ms,BPM,Confidence,Phase,Arousal,Tonic,RawPulse,RawGSR
1010,78.0,0.000,0.00,0.000,0.0,0,0
1123,78.0,0.021,-0.00,0.107,1448.9,1771,1487
1235,78.0,0.026,0.17,0.630,1448.9,1791,1461
1347,78.0,0.037,0.47,0.889,1448.9,1776,1469
1459,78.0,0.047,0.89,0.966,1448.9,1776,1457
1571,78.0,0.055,1.29,0.990,1448.9,1775,1456
1683,78.0,0.055,1.62,0.995,1448.9,1771,1463
1795,78.0,0.054,2.21,0.999,1448.9,1776,1457
1907,78.0,0.055,2.74,1.000,1448.9,1751,1461
2019,78.0,0.047,-3.05,1.000,1448.9,1764,1461
2131,78.0,0.050,-0.46,1.000,1448.9,1779,1462
2243,77.9,0.063,0.07,1.000,1448.9,1791,1467
2355,77.5,0.069,0.53,1.000,1448.9,1776,1468
2467,77.2,0.072,1.26,1.000,1448.9,1777,1465
2579,76.8,0.072,1.99,1.000,1448.9,1772,1462
2691,76.5,0.076,2.76,1.000,1448.9,1774,1456
2803,76.1,0.081,-3.03,1.000,1448.9,1776,1457
2915,75.7,0.083,-2.29,1.000,1448.9,1775,1462
3027,75.2,0.083,-1.56,1.000,1448.8,1776,1468
3139,74.8,0.097,-0.28,1.000,1448.8,1793,1458
3251,74.3,0.105,0.49,1.000,1448.8,1781,1509
3363,73.8,0.104,1.02,1.000,1448.8,1781,1476
3475,73.3,0.104,1.81,1.000,1448.8,1777,1461
3587,72.7,0.111,2.62,1.000,1448.8,1773,1486
3699,72.1,0.126,-2.89,1.000,1448.8,1744,1470
3811,71.5,0.127,-2.21,1.000,1448.8,1769,1439
3923,70.9,0.128,-1.69,1.000,1448.8,1777,1467
4035,70.2,0.122,-0.83,1.000,1448.8,1781,1463
4147,69.6,0.123,-0.03,1.000,1448.8,1770,1471
4259,69.0,0.116,0.77,1.000,1448.8,1783,1462
4371,68.4,0.120,1.47,1.000,1448.8,1749,1408
4483,67.8,0.123,2.14,1.000,1448.8,1729,1471
4595,67.3,0.115,-2.75,1.000,1448.8,1792,1470
4707,66.8,0.092,-1.84,1.000,1448.8,1776,1451
4819,66.3,0.090,-0.94,1.000,1448.8,1781,1470
4931,66.3,0.115,-0.07,1.000,1448.8,1790,1456
5043,66.0,0.123,0.46,1.000,1448.8,1787,1472
5155,65.8,0.128,1.26,1.000,1448.8,1792,1471
5267,65.3,0.130,2.02,1.000,1448.8,1790,1482
5379,65.3,0.131,2.85,0.998,1448.9,1786,1479
5491,65.2,0.136,-2.62,0.994,1448.9,1778,1471
5603,65.1,0.137,-2.08,0.989,1448.9,1782,1483
5715,65.4,0.136,-1.21,0.980,1448.9,1809,1473
5827,66.1,0.144,-0.32,0.968,1448.9,1791,1477
5939,66.2,0.141,0.51,0.966,1448.9,1778,1473
6051,66.5,0.135,1.35,0.990,1449.0,1775,1463
6163,66.8,0.135,1.94,0.995,1449.0,1776,1465
6275,67.0,0.145,2.79,0.999,1449.0,1773,1468
6387,66.8,0.156,-2.67,1.000,1449.0,1777,1463
6499,66.8,0.153,-1.83,1.000,1449.0,1802,1459
6611,67.6,0.156,-0.11,1.000,1449.0,1775,1472
6723,67.6,0.152,0.47,1.000,1449.0,1779,1471
6835,67.8,0.143,1.37,1.000,1449.0,1775,1463
6947,68.2,0.145,2.26,1.000,1449.0,1776,1472
7059,68.4,0.156,3.14,1.000,1449.1,1774,1471
7171,68.3,0.163,-2.30,1.000,1449.1,1771,1468
7283,68.2,0.166,-1.74,1.000,1449.1,1774,1469
7395,68.5,0.170,-0.85,1.000,1449.1,1794,1474
7507,68.7,0.178,0.03,1.000,1449.1,1776,1474
7619,68.7,0.172,0.91,1.000,1449.1,1775,1474
7731,68.9,0.170,1.79,1.000,1449.1,1770,1470
7843,69.0,0.174,2.38,1.000,1449.1,1769,1461
7955,69.0,0.181,-3.03,1.000,1449.1,1776,1472
8067,68.9,0.187,-2.18,1.000,1449.1,1776,1471
8179,68.9,0.188,-1.32,1.000,1449.1,1790,1473
8291,69.2,0.196,-0.42,1.000,1449.1,1772,1468
8403,69.2,0.195,0.16,1.000,1449.1,1776,1466
8515,69.3,0.189,1.03,0.997,1449.2,1776,1471
8627,69.3,0.188,1.91,0.991,1449.2,1773,1469
8739,69.4,0.192,2.78,0.984,1449.2,1776,1471
8851,69.3,0.197,-2.64,0.974,1449.2,1773,1470
8963,69.3,0.199,-2.08,0.967,1449.2,1772,1467
9075,69.4,0.199,-1.19,0.956,1449.2,1789,1467
9187,69.5,0.206,-0.31,0.944,1449.2,1766,1472
9299,69.5,0.206,0.56,0.932,1449.2,1776,1472
9411,69.6,0.202,1.43,0.918,1449.2,1767,1471
9523,69.6,0.202,2.00,0.909,1449.2,1773,1469
9635,69.6,0.205,2.87,0.894,1449.2,1778,1471
9747,69.5,0.211,-2.55,0.879,1449.2,1770,1474
9859,69.5,0.212,-1.69,0.863,1449.2,1776,1471
9971,69.5,0.214,-0.82,0.847,1449.2,1782,1471
10083,69.5,0.224,-0.23,0.837,1449.2,1782,1471
10195,69.4,0.231,0.62,0.827,1449.2,1776,1466
10307,69.4,0.229,1.50,0.816,1449.2,1806,1469
10419,69.4,0.229,2.36,0.805,1449.2,1776,1472
10531,69.4,0.235,-3.06,0.795,1449.2,1765,1468
10643,69.4,0.238,-2.49,0.789,1449.2,1776,1470
10755,69.4,0.238,-1.62,0.804,1449.3,1776,1471
10867,69.3,0.237,-0.77,0.814,1449.3,1777,1471
10979,69.3,0.236,0.09,0.814,1449.3,1787,1473
11091,69.1,0.243,0.93,0.811,1449.3,1781,1470
11203,69.1,0.243,1.49,0.809,1449.3,1776,1467
11315,69.1,0.244,2.36,0.807,1449.3,1783,1467
11427,69.1,0.241,-3.06,0.803,1449.3,1778,1471
11539,69.1,0.242,-2.20,0.797,1449.3,1776,1469
11651,69.0,0.242,-1.35,0.791,1449.2,1764,1472
11763,69.0,0.241,-0.78,0.787,1449.2,1776,1469
11875,69.0,0.240,0.09,0.781,1449.2,1743,1467
11987,69.1,0.234,0.96,0.775,1449.2,1784,1470
12099,68.9,0.222,1.76,0.767,1449.2,1778,1472
12211,68.8,0.219,2.61,0.757,1449.2,1776,1471
12323,68.8,0.220,-3.09,0.751,1449.2,1783,1470
12435,68.8,0.222,-2.23,0.740,1449.2,1776,1467
12547,68.8,0.222,-1.39,0.729,1449.2,1780,1470
12659,68.7,0.214,-0.54,0.717,1449.2,1776,1466
12771,68.7,0.203,0.32,0.704,1449.2,1771,1472
12883,68.8,0.199,0.90,0.696,1449.2,1783,1472
12995,68.5,0.188,1.69,0.682,1449.2,1785,1467
13107,68.4,0.174,2.52,0.668,1449.2,1775,1471
13219,68.4,0.178,-2.90,0.654,1449.2,1779,1473
13331,68.4,0.181,-2.04,0.639,1449.2,1775,1470
13443,68.3,0.180,-1.49,0.630,1449.2,1775,1472
13555,68.2,0.171,-0.65,0.615,1449.2,1777,1472
13667,68.1,0.162,0.21,0.600,1449.2,1783,1472
13779,68.0,0.159,1.07,0.585,1449.2,1791,1473
13891,67.7,0.143,-0.38,0.570,1449.2,1787,1472
14003,66.9,0.147,0.17,0.560,1449.2,1776,1473
14115,66.9,0.137,1.02,0.552,1449.2,1791,1468
14227,67.1,0.134,1.86,0.550,1449.2,1774,1473
14339,66.9,0.140,2.70,0.547,1449.2,1776,1472
14451,66.4,0.149,-2.77,0.544,1449.2,1775,1472
14563,66.2,0.153,-2.23,0.541,1449.2,1767,1469
14675,66.2,0.153,-1.39,0.535,1449.2,1798,1471
14787,65.9,0.157,-0.48,0.535,1449.2,1775,1470
14899,66.0,0.151,0.35,0.602,1449.2,1773,1501
15011,66.2,0.145,1.18,0.880,1449.2,1776,1469
15123,66.3,0.144,1.76,0.946,1449.2,1799,1454
15235,66.1,0.152,2.62,0.984,1449.2,1775,1459
15347,65.9,0.161,-2.84,0.995,1449.2,1782,1461
15459,66.1,0.148,-1.97,0.999,1449.2,1792,1467
15571,66.8,0.134,-1.05,1.000,1449.3,1776,1467
15683,66.9,0.131,-0.50,1.000,1449.3,1776,1461
15795,67.5,0.125,2.40,1.000,1449.3,1782,1453
15907,68.1,0.132,-3.01,1.000,1449.3,1775,1461
16019,68.6,0.140,-2.18,1.000,1449.3,1776,1456
16131,68.6,0.139,-1.35,1.000,1449.3,1770,1467
16243,68.4,0.137,-0.79,1.000,1449.3,1776,1461
16355,68.6,0.144,0.07,1.000,1449.3,1805,1458
16467,69.3,0.151,0.88,1.000,1449.3,1778,1456
16579,69.4,0.150,1.76,1.000,1449.3,1777,1467
16691,69.3,0.151,2.64,1.000,1449.3,1776,1463
16803,69.4,0.155,-3.07,1.000,1449.3,1785,1457
16915,69.5,0.162,-2.23,1.000,1449.3,1781,1459
17027,69.6,0.159,-1.41,0.999,1449.3,1773,1457
17139,69.7,0.154,-0.57,0.996,1449.3,1773,1461
17251,69.7,0.153,0.29,0.995,1449.3,1776,1459
17363,70.0,0.160,0.82,0.994,1449.3,1786,1458
17475,70.4,0.155,1.21,0.990,1449.3,1776,1473
17587,70.3,0.156,2.51,0.993,1449.3,1780,1457
17699,70.2,0.158,-2.91,0.994,1449.3,1776,1463
17811,70.3,0.167,-2.35,0.998,1449.3,1767,1462
17923,70.4,0.168,-1.76,0.998,1449.3,1776,1456
18035,70.4,0.164,-0.88,0.994,1449.3,1802,1457
18147,70.4,0.153,0.01,0.988,1449.3,1779,1456
18259,70.5,0.163,0.85,0.979,1449.3,1808,1435
18371,70.5,0.157,1.72,0.970,1449.3,1774,1487
18483,70.5,0.159,2.34,0.962,1449.3,1775,1449
18595,70.5,0.159,-3.04,0.950,1449.3,1779,1450
18707,70.5,0.165,-2.15,0.937,1449.3,1771,1457
18819,70.5,0.163,-1.27,0.945,1449.3,1778,1452
18931,70.5,0.158,-0.38,0.948,1449.3,1773,1450
19043,70.5,0.154,0.22,0.946,1449.3,1776,1452
19155,70.5,0.153,1.11,0.940,1449.3,1806,1449
19267,70.0,0.140,-0.21,0.932,1449.3,1782,1452
19379,69.3,0.138,0.62,0.922,1449.3,1776,1456
19491,68.6,0.132,1.46,0.911,1449.3,1787,1442
19603,68.0,0.132,2.01,0.902,1449.3,1795,1457
19715,67.3,0.137,2.84,0.888,1449.3,1776,1456
19827,66.6,0.144,-2.63,0.874,1449.3,1776,1456
19939,66.3,0.147,-1.82,0.861,1449.3,1781,1456
20051,66.2,0.143,-1.02,0.864,1449.3,1770,1454
20163,66.1,0.146,-0.47,0.862,1449.3,1798,1446
20275,65.6,0.154,0.35,0.857,1449.3,1787,1454
20387,65.5,0.153,1.16,0.850,1449.3,1789,1451
20499,65.6,0.151,2.00,0.841,1449.3,1773,1454
20611,65.6,0.158,2.84,0.831,1449.3,1786,1449
20723,65.5,0.165,-2.90,0.823,1449.3,1778,1445
20835,65.4,0.168,-2.09,0.810,1449.3,1783,1450
20947,65.4,0.168,-1.29,0.797,1449.3,1776,1459
21059,65.4,0.167,-0.47,0.783,1449.3,1791,1450
21171,65.2,0.183,0.34,0.769,1449.3,1787,1446
21283,65.2,0.183,0.88,0.760,1449.3,1775,1443
21395,65.2,0.180,1.72,0.745,1449.3,1779,1446
21507,65.2,0.179,2.55,0.755,1449.3,1776,1437
21619,65.2,0.190,-2.91,0.770,1449.3,1779,1450
21731,65.2,0.195,-2.11,0.769,1449.3,1776,1435
21843,65.1,0.195,-1.59,0.767,1449.3,1776,1442
21955,65.1,0.201,-0.76,0.762,1449.3,1806,1461
22067,65.1,0.218,0.09,0.757,1449.3,1786,1445
22179,65.2,0.212,0.92,0.750,1449.3,1776,1450
22291,65.2,0.207,1.77,0.742,1449.3,1776,1443
22403,65.2,0.211,2.33,0.736,1449.3,1774,1439
22515,65.2,0.224,-3.12,0.727,1449.3,1781,1446
22627,65.2,0.233,-2.31,0.717,1449.3,1776,1450
22739,65.2,0.235,-1.48,0.707,1449.3,1803,1446
22851,65.3,0.235,-0.57,0.696,1449.3,1785,1445
22963,65.3,0.234,-0.02,0.688,1449.3,1775,1438
23075,65.4,0.216,0.82,0.676,1449.3,1781,1443
23187,65.4,0.214,1.66,0.667,1449.3,1776,1445
23299,65.5,0.228,2.52,0.658,1449.3,1767,1445
23411,65.5,0.241,-2.93,0.648,1449.3,1774,1442
23523,65.4,0.247,-2.39,0.641,1449.3,1776,1439
23635,65.4,0.248,-1.57,0.641,1449.3,1796,1443
23747,65.6,0.234,-0.64,0.642,1449.3,1791,1449
23859,65.6,0.233,0.19,0.639,1449.3,1792,1444
23971,65.6,0.216,1.03,0.636,1449.3,1777,1439
24083,65.7,0.212,1.60,0.633,1449.3,1777,1441
24195,65.7,0.219,2.47,0.628,1449.3,1779,1437
24307,65.7,0.231,-2.99,0.622,1449.3,1778,1442
24419,65.7,0.240,-2.18,0.617,1449.3,1771,1438
24531,65.6,0.239,-1.38,0.610,1449.3,1777,1433
24643,65.6,0.235,-0.84,0.606,1449.3,1778,1436
24755,65.6,0.243,-0.01,0.599,1449.3,1801,1438
24867,65.5,0.241,0.78,0.595,1449.3,1780,1439
24979,65.5,0.240,1.61,0.685,1449.3,1782,1441
25091,65.5,0.240,2.44,0.723,1449.3,1749,1439
25203,65.5,0.246,2.99,0.747,1449.3,1776,1442
25315,65.5,0.252,-2.48,0.753,1449.3,1775,1436
25427,65.5,0.252,-1.67,0.751,1449.3,1776,1442
25539,65.5,0.250,-0.86,0.747,1449.3,1769,1437
25651,65.5,0.245,-0.04,0.742,1449.3,1778,1435
25763,65.5,0.242,0.51,0.738,1449.3,1783,1434
25875,65.4,0.238,1.28,0.731,1449.3,1808,1435
25987,65.4,0.232,2.08,0.844,1449.3,1775,1439
26099,65.4,0.237,2.92,0.946,1449.3,1788,1428
26211,65.4,0.237,-2.54,0.984,1449.3,1786,1430
26323,65.4,0.239,-2.00,0.993,1449.3,1776,1429
26435,65.4,0.236,-1.19,0.998,1449.3,1777,1405
26547,65.3,0.232,-0.38,0.999,1449.3,1776,1444
26659,65.3,0.228,0.45,0.995,1449.3,1775,1431
26771,65.3,0.229,1.24,0.989,1449.3,1794,1429
26883,65.2,0.219,1.76,0.984,1449.3,1783,1427
26995,65.2,0.217,2.58,0.973,1449.3,1809,1426
27107,65.2,0.219,-2.88,0.962,1449.3,1767,1438
27219,65.2,0.224,-2.07,0.950,1449.3,1775,1427
27331,65.2,0.223,-1.27,0.936,1449.3,1779,1425
27443,65.2,0.220,-0.73,0.927,1449.3,1776,1425
27555,65.2,0.219,0.10,0.912,1449.3,1780,1435
27667,65.2,0.219,0.92,0.896,1449.3,1778,1435
27779,65.1,0.213,1.71,0.880,1449.3,1791,1432
27891,65.0,0.192,2.48,0.863,1449.3,1781,1434
28003,65.0,0.193,3.03,0.851,1449.3,1779,1424
28115,65.0,0.196,-2.43,0.833,1449.3,1782,1430
28227,65.0,0.196,-1.62,0.814,1449.3,1728,1434
28339,64.8,0.180,-0.85,0.914,1449.2,1779,1426
28451,64.8,0.179,-0.03,0.974,1449.2,1776,1430
28563,64.8,0.179,0.52,0.988,1449.2,1776,1429
28675,64.8,0.178,1.35,0.996,1449.2,1762,1439
28787,64.7,0.167,2.14,0.998,1449.2,1791,1427
28899,64.2,0.140,2.93,0.996,1449.2,1787,1424
29011,64.2,0.141,-2.54,0.990,1449.2,1779,1431
29123,64.2,0.142,-1.99,0.985,1449.2,1783,1429
29235,64.1,0.141,-1.18,0.976,1449.2,1791,1437
29347,63.5,0.141,-2.39,0.966,1449.2,1786,1430
29459,63.2,0.143,-1.63,0.954,1449.2,1776,1408
29571,63.2,0.143,-0.85,0.941,1449.2,1770,1431
29683,63.1,0.144,-0.32,0.931,1449.2,1776,1431
29795,62.9,0.151,0.45,0.917,1449.2,1790,1430
29907,62.3,0.158,1.17,0.901,1449.2,1776,1425
30019,62.3,0.159,1.96,0.885,1449.2,1782,1427
30131,62.3,0.160,2.75,0.869,1449.2,1779,1428
30243,62.3,0.163,-3.01,0.857,1449.2,1776,1427
30355,62.2,0.169,-2.24,0.839,1449.2,1776,1427
30467,62.1,0.170,-1.48,0.821,1449.2,1773,1424
30579,62.0,0.166,-0.71,0.804,1449.2,1774,1422
30691,62.0,0.167,0.07,0.788,1449.2,1791,1429
30803,61.8,0.178,0.56,0.781,1449.2,1790,1449
30915,61.7,0.179,1.31,0.774,1449.2,1776,1428
31027,61.7,0.179,2.11,0.765,1449.2,1783,1424
31139,61.8,0.181,2.89,0.756,1449.2,1776,1426
31251,61.7,0.190,-2.61,0.745,1449.2,1776,1425
31363,61.7,0.193,-2.10,0.737,1449.2,1774,1429
31475,61.6,0.193,-1.34,0.725,1449.2,1775,1426
31587,61.5,0.187,-0.58,0.712,1449.2,1778,1441
31699,61.5,0.191,0.20,0.701,1449.2,1791,1424
31811,61.4,0.200,0.92,0.689,1449.2,1783,1431
31923,61.4,0.199,1.44,0.682,1449.2,1776,1424
32035,61.4,0.200,2.24,0.670,1449.2,1781,1426
32147,61.5,0.202,3.03,0.659,1449.2,1777,1421
32259,61.5,0.217,-2.49,0.647,1449.2,1776,1431
32371,61.4,0.218,-1.72,0.635,1449.2,1777,1433
32483,61.4,0.218,-1.20,0.626,1449.2,1794,1427
32595,61.3,0.211,-0.43,0.613,1449.2,1775,1424
32707,61.3,0.217,0.34,0.600,1449.2,1806,1424
32819,61.2,0.217,1.06,0.586,1449.2,1774,1435
32931,61.2,0.217,1.85,0.572,1449.2,1776,1425
33043,61.3,0.218,2.39,0.605,1449.2,1779,1424
33155,61.3,0.222,-3.11,0.648,1449.2,1776,1429
33267,61.3,0.231,-2.34,0.649,1449.2,1791,1435
33379,61.3,0.232,-1.57,0.648,1449.2,1771,1430
33491,61.2,0.226,-0.80,0.644,1449.2,1776,1424
33603,61.1,0.220,-0.29,0.642,1449.2,1779,1425
33715,61.2,0.232,0.48,0.636,1449.2,1787,1424
33827,61.2,0.230,1.25,0.630,1449.2,1746,1424
33939,61.3,0.228,2.06,0.627,1449.2,1776,1453
34051,61.4,0.230,2.85,0.626,1449.2,1771,1433
34163,61.4,0.237,-2.91,0.625,1449.2,1776,1423
34275,61.4,0.240,-2.14,0.622,1449.2,1777,1424
34387,61.4,0.239,-1.37,0.618,1449.2,1775,1428
34499,61.3,0.235,-0.60,0.613,1449.2,1779,1435
34611,61.5,0.251,0.18,0.608,1449.2,1791,1424
34723,61.5,0.251,0.69,0.603,1449.2,1786,1426
34835,61.5,0.250,1.47,0.596,1449.2,1790,1427
34947,61.6,0.249,2.27,0.587,1449.2,1779,1429
35059,61.6,0.256,3.06,0.578,1449.2,1770,1430
35171,61.7,0.259,-2.45,0.568,1449.2,1776,1429
35283,61.6,0.260,-1.93,0.561,1449.2,1779,1425
35395,61.6,0.259,-1.16,0.550,1449.2,1776,1428
35507,61.6,0.256,-0.39,0.539,1449.2,1780,1428
35619,61.7,0.265,0.39,0.527,1449.2,1793,1414
35731,61.7,0.262,1.14,0.539,1449.2,1777,1394
35843,61.7,0.262,1.67,0.541,1449.2,1779,1424
35955,61.7,0.260,2.46,0.540,1449.2,1777,1427
36067,61.7,0.258,-3.04,0.537,1449.2,1797,1437
36179,61.7,0.259,-2.27,0.534,1449.2,1774,1426
36291,61.6,0.258,-1.51,0.556,1449.2,1776,1424
36403,61.6,0.255,-1.00,0.556,1449.2,1778,1429
36515,61.5,0.248,-0.22,0.554,1449.2,1776,1426
36627,61.5,0.251,0.55,0.551,1449.2,1788,1430
36739,61.5,0.247,1.29,0.547,1449.2,1771,1424
36851,61.6,0.250,2.09,0.578,1449.2,1787,1366
36963,61.6,0.252,2.61,0.693,1449.2,1777,1423
37075,61.7,0.255,-2.89,0.742,1449.2,1750,1430
