Timestamp_ms,RawPulse,RawGSR
1010,1802,1287
1012,1782,1295
1014,1782,1302
1016,1787,1307
1018,1790,1310
1020,1795,1304
1022,1800,1289
1024,1802,1279
1026,1805,1269
1028,1807,1275
1030,1809,1286
1032,1813,1294
1034,1817,1302
1036,1820,1303
1038,1826,1307
1040,1830,1304
1042,1829,1291
1044,1831,1280
1046,1836,1272
1048,1836,1274
1050,1838,1289
1052,1838,1292
1054,1838,1296
1056,1842,1303
1058,1847,1305
1060,1841,1304
1062,1847,1292
1064,1849,1278
1066,1847,1264
1068,1847,1269
1070,1850,1285
1072,1849,1291
1074,1849,1297
1076,1851,1303
1078,1850,1304
1080,1850,1302
1082,1850,1291
1084,1851,1274
1086,1852,1265
1088,1846,1272
1090,1849,1282
1092,1850,1291
1094,1845,1298
1096,1848,1304
1098,1846,1303
1100,1850,1299
1102,1849,1284
1104,1850,1278
1106,1849,1268
1108,1843,1267
1110,1843,1284
1112,1843,1288
1114,1846,1297
1116,1843,1300
1118,1841,1302
1120,1843,1300
1122,1840,1287
1124,1841,1273
1126,1842,1269
1128,1840,1273
1130,1837,1280
1132,1839,1295
1134,1839,1295
1136,1833,1299
1138,1831,1301
1140,1831,1300
1142,1835,1286
1144,1835,1275
1146,1832,1264
1148,1830,1271
1150,1830,1280
1152,1832,1290
1154,1831,1296
1156,1826,1300
1158,1827,1298
1160,1825,1297
1162,1827,1285
1164,1830,1270
1166,1833,1266
1168,1828,1267
1170,1824,1280
1172,1823,1289
1174,1827,1295
1176,1826,1298
1178,1820,1300
1180,1820,1296
1182,1823,1288
1184,1825,1270
1186,1818,1266
1188,1822,1268
1190,1826,1283
1192,1824,1288
1194,1826,1297
1196,1826,1298
1198,1823,1298
1200,1824,1295
1202,1824,1284
1204,1830,1275
1206,1826,1261
1208,1827,1268
1210,1822,1278
1212,1828,1288
1214,1824,1296
1216,1830,1298
1218,1825,1299
1220,1826,1296
1222,1826,1288
1224,1828,1271
1226,1825,1262
1228,1827,1269
1230,1826,1277
1232,1834,1286
1234,1830,1297
1236,1832,1299
1238,1831,1300
1240,1831,1296
1242,1835,1284
1244,1835,1272
1246,1835,1262
1248,1837,1269
1250,1838,1283
1252,1836,1284
1254,1838,1295
1256,1842,1296
1258,1842,1301
1260,1841,1297
1262,1837,1285
1264,1841,1270
1266,1839,1265
1268,1839,1268
1270,1840,1282
1272,1839,1287
1274,1840,1293
1276,1842,1297
1278,1836,1298
1280,1840,1295
1282,1839,1284
1284,1839,1269
1286,1839,1263
1288,1839,1264
1290,1841,1279
1292,1840,1286
1294,1844,1294
1296,1843,1296
1298,1840,1297
1300,1841,1292
1302,1838,1280
1304,1841,1271
1306,1843,1264
1308,1838,1267
1310,1843,1279
1312,1840,1286
1314,1838,1295
1316,1836,1299
1318,1834,1299
1320,1840,1295
1322,1839,1281
1324,1837,1271
1326,1836,1264
1328,1837,1267
1330,1836,1277
1332,1836,1285
1334,1839,1297
1336,1834,1298
1338,1833,1300
1340,1835,1295
1342,1834,1278
1344,1829,1271
1346,1835,1263
1348,1830,1268
1350,1830,1277
1352,1830,1285
1354,1830,1292
1356,1834,1300
1358,1831,1301
1360,1833,1297
1362,1825,1282
1364,1829,1269
1366,1825,1265
1368,1827,1268
1370,1826,1280
1372,1833,1286
1374,1829,1292
1376,1827,1296
1378,1824,1298
1380,1826,1294
1382,1822,1281
1384,1823,1270
1386,1824,1263
1388,1819,1264
1390,1822,1278
1392,1825,1285
1394,1823,1291
1396,1822,1295
1398,1824,1296
1400,1818,1295
1402,1823,1282
1404,1826,1270
1406,1826,1262
1408,1818,1265
1410,1822,1281
1412,1823,1286
1414,1825,1293
1416,1821,1298
1418,1824,1300
1420,1820,1293
1422,1822,1283
1424,1823,1274
1426,1817,1263
1428,1816,1265
1430,1821,1273
1432,1817,1283
1434,1817,1295
1436,1822,1296
1438,1819,1299
1440,1821,1297
1442,1819,1282
1444,1817,1269
1446,1819,1258
1448,1818,1271
1450,1818,1282
1452,1820,1285
1454,1821,1298
1456,1818,1296
1458,1820,1298
1460,1820,1295
1462,1823,1279
1464,1825,1270
1466,1820,1264
1468,1823,1266
1470,1815,1280
1472,1823,1285
1474,1817,1294
1476,1819,1299
1478,1821,1297
1480,1821,1295
1482,1822,1281
1484,1823,1272
1486,1817,1264
1488,1823,1267
1490,1822,1277
1492,1824,1283
1494,1823,1292
1496,1823,1298
1498,1822,1296
1500,1821,1287
1502,1825,1278
1504,1826,1264
1506,1823,1263
1508,1826,1265
1510,1820,1278
1512,1823,1283
1514,1822,1293
1516,1824,1298
1518,1824,1298
1520,1825,1297
1522,1826,1279
1524,1828,1271
1526,1828,1261
1528,1828,1267
1530,1825,1279
1532,1828,1286
1534,1824,1293
1536,1827,1297
1538,1827,1297
1540,1828,1295
1542,1828,1282
1544,1825,1267
1546,1824,1265
1548,1827,1267
1550,1828,1274
1552,1827,1281
1554,1823,1293
1556,1824,1298
1558,1828,1299
1560,1827,1297
1562,1829,1284
1564,1829,1272
1566,1829,1264
1568,1828,1269
1570,1828,1274
1572,1829,1286
1574,1830,1295
1576,1832,1295
1578,1826,1298
1580,1830,1296
1582,1825,1283
1584,1825,1271
1586,1824,1265
1588,1829,1266
1590,1826,1278
1592,1828,1286
1594,1826,1293
1596,1825,1295
1598,1827,1299
1600,1828,1294
1602,1822,1281
1604,1820,1269
1606,1827,1265
1608,1825,1269
1610,1828,1277
1612,1827,1287
1614,1825,1295
1616,1825,1299
1618,1826,1298
1620,1827,1294
1622,1825,1280
1624,1829,1272
1626,1824,1263
1628,1826,1265
1630,1825,1278
1632,1826,1288
1634,1827,1288
1636,1819,1295
1638,1820,1299
1640,1823,1289
1642,1827,1281
1644,1826,1267
1646,1824,1263
1648,1823,1270
1650,1823,1279
1652,1822,1284
1654,1826,1289
1656,1822,1295
1658,1824,1295
1660,1821,1292
1662,1824,1284
1664,1822,1269
1666,1823,1262
1668,1822,1268
1670,1820,1279
1672,1825,1285
1674,1823,1293
1676,1818,1299
1678,1825,1302
1680,1823,1292
1682,1821,1281
1684,1820,1272
1686,1816,1259
1688,1820,1268
1690,1821,1281
1692,1822,1286
1694,1816,1297
1696,1822,1295
1698,1816,1298
1700,1823,1297
1702,1822,1282
1704,1820,1270
1706,1819,1264
1708,1818,1268
1710,1822,1279
1712,1817,1290
1714,1822,1295
1716,1818,1296
1718,1818,1300
1720,1817,1294
1722,1819,1287
1724,1821,1270
1726,1823,1262
1728,1820,1270
1730,1822,1281
1732,1822,1287
1734,1816,1298
1736,1817,1297
1738,1817,1299
1740,1822,1296
1742,1822,1283
1744,1825,1271
1746,1820,1264
1748,1821,1268
1750,1819,1279
1752,1815,1287
1754,1816,1292
1756,1818,1300
1758,1817,1300
1760,1819,1295
1762,1820,1283
1764,1817,1271
1766,1822,1262
1768,1819,1268
1770,1819,1279
1772,1817,1288
1774,1818,1293
1776,1813,1299
1778,1815,1301
1780,1819,1293
1782,1820,1284
1784,1823,1268
1786,1818,1263
1788,1820,1266
1790,1820,1279
1792,1821,1286
1794,1821,1294
1796,1819,1302
1798,1821,1300
1800,1818,1297
1802,1820,1285
1804,1818,1271
1806,1821,1263
1808,1818,1271
1810,1820,1278
1812,1822,1287
1814,1819,1296
1816,1822,1296
1818,1820,1298
1820,1823,1299
